odseffective_to_dt;odsis_active_flg;attr_list;id;hdp_processed_dttm
5999-12-31 00:00:00;1;,TERM,NO_TERM,TERM_KEY_ENTRY,DECOUPLED,NO_AUTH,RECURRING,NO_CARD,NO_CARDHOLDER,KEY_ENTRY,STORED,TERM_NO_CC,TERM_NO_AUTH,TERM_NO_PIN,;7520;2023-05-18 23:37:38
5999-12-31 00:00:00;1;,TERM,NO_TERM,TERM_KEY_ENTRY,DECOUPLED,NO_AUTH,RECURRING,NO_CARD,NO_CARDHOLDER,KEY_ENTRY,STORED,TERM_NO_CC,TERM_NO_AUTH,TERM_NO_PIN,;7530;2023-05-18 23:37:38
5999-12-31 00:00:00;1;,TERM,NO_TERM,TERM_KEY_ENTRY,DECOUPLED,NO_AUTH,RECURRING,NO_CARD,NO_CARDHOLDER,KEY_ENTRY,STORED,TERM_NO_CC,TERM_NO_AUTH,TERM_NO_PIN,;7420;2023-05-18 12:33:58
5999-12-31 00:00:00;1;,TERM,NO_TERM,TERM_KEY_ENTRY,DECOUPLED,NO_AUTH,RECURRING,NO_CARD,NO_CARDHOLDER,KEY_ENTRY,STORED,TERM_NO_CC,TERM_NO_AUTH,TERM_NO_PIN,;7430;2023-05-18 12:33:58
5999-12-31 00:00:00;1;,TERM,NO_TERM,TERM_KEY_ENTRY,DECOUPLED,NO_AUTH,RECURRING,NO_CARD,NO_CARDHOLDER,KEY_ENTRY,STORED,TERM_NO_CC,TERM_NO_AUTH,TERM_NO_PIN,;7440;2023-05-18 12:33:58
5999-12-31 00:00:00;1;,TERM,NO_TERM,TERM_KEY_ENTRY,DECOUPLED,NO_AUTH,RECURRING,NO_CARD,NO_CARDHOLDER,KEY_ENTRY,STORED,TERM_NO_CC,TERM_NO_AUTH,TERM_NO_PIN,;7470;2023-05-18 12:33:58
5999-12-31 00:00:00;1;,TERM,NO_TERM,TERM_KEY_ENTRY,DECOUPLED,NO_AUTH,RECURRING,NO_CARD,NO_CARDHOLDER,KEY_ENTRY,STORED,TERM_NO_CC,TERM_NO_AUTH,TERM_NO_PIN,;3960;2023-02-27 22:53:58
5999-12-31 00:00:00;1;,TERM,NO_TERM,TERM_KEY_ENTRY,DECOUPLED,NO_AUTH,RECURRING,NO_CARD,NO_CARDHOLDER,KEY_ENTRY,STORED,TERM_NO_CC,TERM_NO_AUTH,TERM_NO_PIN,;3970;2023-02-27 22:53:58
5999-12-31 00:00:00;1;,TERM,NO_TERM,TERM_KEY_ENTRY,DECOUPLED,NO_AUTH,RECURRING,NO_CARD,NO_CARDHOLDER,KEY_ENTRY,STORED,TERM_NO_CC,TERM_NO_AUTH,TERM_NO_PIN,;3990;2023-02-27 22:53:58
5999-12-31 00:00:00;1;,TERM,NO_TERM,TERM_KEY_ENTRY,DECOUPLED,NO_AUTH,RECURRING,NO_CARD,NO_CARDHOLDER,KEY_ENTRY,STORED,TERM_NO_CC,TERM_NO_AUTH,TERM_NO_PIN,;4000;2023-02-27 22:53:58
